ID,GICS Sector,Partial Errors
6367 JP Equity,Industrial,
6370 JP Equity,Industrial,
6383 JP Equity,Industrial,
63DU GY Equity,Financial,
6417 JP Equity,"Consumer, Cyclical",
6448 JP Equity,Industrial,
6460 JP Equity,Technology,
6465 JP Equity,"Consumer, Cyclical",
6471 JP Equity,Industrial,
6472 JP Equity,Industrial,
6473 JP Equity,"Consumer, Cyclical",
6479 JP Equity,Industrial,
6481 JP Equity,Industrial,
6501 JP Equity,Industrial,
6502 JP Equity,Industrial,
6503 JP Equity,Industrial,
6504 JP Equity,Industrial,
6506 JP Equity,Industrial,
6532 JP Equity,Technology,
658 HK Equity,Industrial,
6586 JP Equity,Industrial,
659 HK Equity,Industrial,
6592 JP Equity,Industrial,
6594 JP Equity,Industrial,
66 HK Equity,Industrial,
6645 JP Equity,Industrial,
6665 JP Equity,Technology,
6674 JP Equity,"Consumer, Cyclical",
669 HK Equity,Industrial,
6701 JP Equity,Technology,
6702 JP Equity,Technology,
6723 JP Equity,Technology,
6724 JP Equity,Technology,
6740 JP Equity,Industrial,
6752 JP Equity,"Consumer, Cyclical",
6753 JP Equity,"Consumer, Cyclical",
6758 JP Equity,"Consumer, Cyclical",
6762 JP Equity,Industrial,
6764 JP Equity,"Consumer, Cyclical",
6770 JP Equity,Industrial,
6806 JP Equity,Industrial,
682 HK Equity,"Consumer, Non-cyclical",
6823 HK Equity,Communications,
683 HK Equity,Financial,
6841 JP Equity,Industrial,
6845 JP Equity,Industrial,
6857 JP Equity,Technology,
6861 JP Equity,Industrial,
6869 JP Equity,"Consumer, Non-cyclical",
69 HK Equity,"Consumer, Cyclical",
6902 JP Equity,"Consumer, Cyclical",
6920 JP Equity,Technology,
6923 JP Equity,"Consumer, Cyclical",
6952 JP Equity,Industrial,
6954 JP Equity,Industrial,
6963 JP Equity,Technology,
6965 JP Equity,Technology,
6967 JP Equity,Technology,
6971 JP Equity,Industrial,
6976 JP Equity,Industrial,
6981 JP Equity,Industrial,
6988 JP Equity,Basic Materials,
6991 JP Equity,Industrial,
7003 JP Equity,Industrial,
7011 JP Equity,Industrial,
7012 JP Equity,Industrial,
7013 JP Equity,Industrial,
7167 JP Equity,Financial,
7181 JP Equity,Financial,
7182 JP Equity,Financial,
7186 JP Equity,Financial,
7201 JP Equity,"Consumer, Cyclical",
7202 JP Equity,"Consumer, Cyclical",
7203 JP Equity,"Consumer, Cyclical",
7205 JP Equity,"Consumer, Cyclical",
7211 JP Equity,"Consumer, Cyclical",
7240 JP Equity,"Consumer, Cyclical",
7259 JP Equity,"Consumer, Cyclical",
7261 JP Equity,"Consumer, Cyclical",
7262 JP Equity,"Consumer, Cyclical",
7267 JP Equity,"Consumer, Cyclical",
7269 JP Equity,"Consumer, Cyclical",
7270 JP Equity,"Consumer, Cyclical",
7272 JP Equity,"Consumer, Cyclical",
7276 JP Equity,"Consumer, Cyclical",
7282 JP Equity,"Consumer, Cyclical",
7309 JP Equity,"Consumer, Cyclical",
7312 JP Equity,"Consumer, Cyclical",
7453 JP Equity,"Consumer, Cyclical",
7459 JP Equity,"Consumer, Non-cyclical",
7532 JP Equity,"Consumer, Cyclical",
7564 JP Equity,"Consumer, Cyclical",
7701 JP Equity,Industrial,
7731 JP Equity,Industrial,
7733 JP Equity,"Consumer, Non-cyclical",
7735 JP Equity,Industrial,
7741 JP Equity,Industrial,
7747 JP Equity,"Consumer, Non-cyclical",
7751 JP Equity,Technology,
7752 JP Equity,Technology,
7762 JP Equity,"Consumer, Cyclical",
7832 JP Equity,"Consumer, Cyclical",
7911 JP Equity,"Consumer, Non-cyclical",
7912 JP Equity,"Consumer, Non-cyclical",
7936 JP Equity,"Consumer, Cyclical",
7951 JP Equity,"Consumer, Cyclical",
7956 JP Equity,"Consumer, Non-cyclical",
7974 JP Equity,"Consumer, Cyclical",
8 HK Equity,Communications,
8001 JP Equity,"Consumer, Cyclical",
8002 JP Equity,"Consumer, Cyclical",
8015 JP Equity,"Consumer, Cyclical",
8028 JP Equity,"Consumer, Cyclical",
8031 JP Equity,"Consumer, Cyclical",
8035 JP Equity,Technology,
8036 JP Equity,Industrial,
8053 JP Equity,"Consumer, Cyclical",
8058 JP Equity,"Consumer, Cyclical",
8060 JP Equity,Technology,
8113 JP Equity,"Consumer, Non-cyclical",
813 HK Equity,Financial,
8136 JP Equity,"Consumer, Cyclical",
8206908Q US Equity,Financial,
8215820Q US Equity,Financial,
8227 JP Equity,"Consumer, Cyclical",
823 HK Equity,Financial,
8233 JP Equity,"Consumer, Cyclical",
8234 JP Equity,"Consumer, Cyclical",
8238 JP Equity,"Consumer, Cyclical",
8252 JP Equity,"Consumer, Cyclical",
8253 JP Equity,Financial,
8263 JP Equity,"Consumer, Cyclical",
8267 JP Equity,"Consumer, Non-cyclical",
8277831Q US Equity,Technology,
83 HK Equity,Financial,
8303 JP Equity,Financial,
8304 JP Equity,Financial,
8306 JP Equity,Financial,
8308 JP Equity,Financial,
8309 JP Equity,Financial,
8316 JP Equity,Financial,
8327 JP Equity,Financial,
8331 JP Equity,Financial,
8332 JP Equity,Financial,
8333 JP Equity,Financial,
8334 JP Equity,Financial,
8354 JP Equity,Financial,
8355 JP Equity,Financial,
8358 JP Equity,Financial,
8359 JP Equity,Financial,
8369 JP Equity,Financial,
8377 JP Equity,Financial,
8379 JP Equity,Financial,
8382 JP Equity,Financial,
8385 JP Equity,Financial,
8394653Q US Equity,Financial,
8403 JP Equity,Financial,
8404 JP Equity,Financial,
8410 JP Equity,Financial,
8411 JP Equity,Financial,
8418 JP Equity,Financial,
8439 JP Equity,Financial,
8473 JP Equity,Financial,
8515 JP Equity,Financial,
8564 JP Equity,Financial,
8570 JP Equity,Financial,
8572 JP Equity,Financial,
8574 JP Equity,Financial,
